                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0622,                 3.1898,                 1.7437,                0.04052,                0.82941,                 0.0698,                0.03362,                 1.4138,                 2.8526,                 1.3187,                  0.073,                  0.003,                  0.003
                      2,                 1.7124,                 1.7838,                 1.5133,                0.88295,                0.25059,                0.64169,                 0.3245,                 1.4245,                 2.2017,                 1.3347,               0.044798,               0.005798,               0.005798
                      3,                 1.5717,                 1.5185,                 1.3379,                 0.7451,                0.61176,                0.69059,                0.35501,                 1.4709,                  1.761,                 1.3094,               0.016289,              0.0082892,              0.0082892
                      4,                  1.575,                 1.4727,                 1.2985,                0.76645,                0.67567,                 0.7646,                0.41009,                 1.3855,                 1.4018,                 1.2404,               0.008515,               0.008515,               0.008515
                      5,                 1.5358,                   1.36,                 1.2556,                0.73319,                0.68353,                0.74541,                0.42864,                 1.3195,                 1.2981,                 1.2178,                0.00802,                0.00802,                0.00802
                      6,                 1.4804,                 1.3251,                 1.2356,                0.76038,                0.66826,                0.74463,                0.42834,                 1.3441,                 1.2195,                 1.2069,               0.007525,               0.007525,               0.007525
                      7,                  1.457,                 1.2943,                  1.233,                0.77114,                0.70561,                0.78783,                0.45374,                 1.3282,                 1.1559,                 1.1949,                0.00703,                0.00703,                0.00703
                      8,                 1.4638,                 1.2741,                 1.2273,                0.77607,                0.72706,                0.80369,                0.46882,                 1.3042,                 1.1749,                 1.1863,               0.006535,               0.006535,               0.006535
                      9,                 1.4107,                 1.2022,                 1.1936,                0.78736,                0.72749,                0.81164,                0.48703,                 1.2884,                 1.1019,                 1.1881,                0.00604,                0.00604,                0.00604
                     10,                 1.4046,                 1.1916,                 1.1796,                0.74397,                0.75059,                0.81439,                0.49988,                 1.2378,                 1.0798,                 1.1633,               0.005545,               0.005545,               0.005545
                     11,                 1.3322,                 1.3402,                 1.1703,                0.75673,                0.69647,                0.79041,                0.48531,                 1.2278,                  1.191,                 1.1452,                0.00505,                0.00505,                0.00505
                     12,                 1.2988,                 1.2196,                  1.158,                0.77883,                0.72087,                0.81005,                0.49304,                 1.2249,                  1.167,                  1.142,               0.004555,               0.004555,               0.004555
                     13,                 1.3036,                 1.1902,                 1.1435,                0.76583,                0.73294,                0.81682,                0.50945,                 1.2267,                 1.0605,                 1.1448,                0.00406,                0.00406,                0.00406
                     14,                 1.2633,                 1.1352,                 1.1222,                0.81035,                0.72235,                 0.8272,                0.51439,                 1.2188,                 1.0483,                 1.1329,               0.003565,               0.003565,               0.003565
                     15,                 1.2606,                 1.1179,                 1.1348,                0.81172,                0.74824,                0.84121,                0.51656,                 1.2357,                 1.0238,                 1.1448,                0.00307,                0.00307,                0.00307
                     16,                 1.2463,                 1.0987,                 1.1261,                0.83437,                0.74672,                0.85288,                0.52329,                 1.2055,                  1.007,                 1.1321,               0.002575,               0.002575,               0.002575
                     17,                 1.2367,                 1.0711,                 1.1206,                0.80789,                0.77179,                0.85731,                0.53086,                 1.2072,                0.99465,                 1.1399,                0.00208,                0.00208,                0.00208
                     18,                 1.2279,                 1.0563,                 1.1169,                0.81491,                0.78214,                0.86284,                0.53537,                 1.2088,                0.96819,                 1.1341,               0.001585,               0.001585,               0.001585
                     19,                 1.2293,                 1.0558,                 1.1183,                0.82894,                0.78105,                0.87057,                0.54831,                 1.1799,                0.94153,                 1.1193,                0.00109,                0.00109,                0.00109
                     20,                  1.217,                 1.0588,                 1.1142,                0.82549,                0.79026,                0.86908,                0.55172,                 1.1818,                0.93778,                 1.1184,               0.000595,               0.000595,               0.000595
