                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1789,                 3.0402,                 1.7515,                0.06507,                0.71647,                0.44847,                0.19073,                 1.6027,                 2.5981,                 1.2705,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.6837,                 1.5414,                 1.3273,                0.71115,                0.60246,                0.59968,                0.29891,                 1.6388,                 1.8478,                 1.4069,             0.00058931,             0.00058931,             0.00058931
                      3,                  1.624,                 1.4164,                 1.3066,                0.74351,                0.62409,                 0.6914,                0.37157,                 1.4808,                 1.3526,                 1.2969,             0.00084694,             0.00084694,             0.00084694
                      4,                 1.5378,                  1.316,                 1.2679,                0.72099,                0.66235,                0.73369,                0.41619,                  1.417,                 1.3238,                 1.2623,              0.0010729,              0.0010729,              0.0010729
                      5,                 1.5175,                 1.2289,                 1.2348,                0.72209,                0.61176,                0.66936,                0.36559,                 1.4679,                  1.463,                 1.2853,              0.0012672,              0.0012672,              0.0012672
                      6,                 1.4555,                 1.2241,                 1.2357,                0.77572,                0.67294,                0.77436,                0.45004,                 1.3479,                 1.3355,                  1.205,              0.0014297,              0.0014297,              0.0014297
                      7,                 1.4758,                  1.185,                 1.2248,                 0.7925,                0.70588,                0.78974,                0.46994,                 1.3188,                 1.2545,                 1.1961,               0.001406,               0.001406,               0.001406
                      8,                 1.4452,                 1.1212,                  1.201,                0.83096,                0.70588,                0.81467,                0.48094,                 1.3318,                   1.11,                 1.1992,               0.001307,               0.001307,               0.001307
                      9,                 1.4444,                   1.12,                 1.2073,                0.77813,                0.72588,                0.80929,                0.47302,                 1.3183,                 1.0885,                 1.2051,               0.001208,               0.001208,               0.001208
                     10,                 1.3883,                 1.0973,                 1.1937,                0.76074,                0.68082,                0.76881,                0.45103,                 1.3243,                 1.1889,                 1.2254,               0.001109,               0.001109,               0.001109
                     11,                 1.3356,                 1.3022,                 1.1821,                0.72908,                0.66471,                0.73508,                0.43419,                 1.2962,                 1.2989,                 1.2073,                0.00101,                0.00101,                0.00101
                     12,                 1.3129,                 1.2023,                 1.1842,                0.76281,                0.71132,                0.79497,                0.47395,                 1.2901,                 1.1353,                 1.2072,               0.000911,               0.000911,               0.000911
                     13,                 1.2949,                 1.1203,                 1.1438,                0.80544,                0.76118,                0.83758,                0.50878,                 1.2865,                 1.0703,                 1.1905,               0.000812,               0.000812,               0.000812
                     14,                  1.298,                 1.0552,                 1.1385,                 0.8177,                0.77572,                0.84381,                0.51001,                 1.2939,                 1.0142,                 1.1864,               0.000713,               0.000713,               0.000713
                     15,                  1.287,                 1.0529,                 1.1538,                0.82101,                0.70706,                0.82115,                0.49262,                 1.3193,                 1.0637,                 1.1999,               0.000614,               0.000614,               0.000614
                     16,                 1.2551,                 1.0279,                 1.1343,                0.83716,                0.74706,                0.84833,                0.53505,                 1.2291,                0.95607,                 1.1457,               0.000515,               0.000515,               0.000515
                     17,                 1.2516,                0.98614,                 1.1235,                0.85532,                0.72118,                0.85158,                0.53528,                 1.2277,                 0.9518,                 1.1398,               0.000416,               0.000416,               0.000416
                     18,                 1.2336,                0.97376,                 1.1143,                0.85669,                0.74549,                0.86355,                0.54441,                 1.2246,                0.93409,                 1.1314,               0.000317,               0.000317,               0.000317
                     19,                 1.1985,                0.96446,                 1.1209,                0.84204,                0.75884,                0.86531,                0.55076,                 1.2041,                0.92071,                 1.1297,               0.000218,               0.000218,               0.000218
                     20,                 1.1746,                0.92516,                 1.0973,                0.84844,                0.75738,                0.86848,                 0.5542,                 1.1971,                 0.9053,                 1.1272,               0.000119,               0.000119,               0.000119
