                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2085,                  2.601,                 1.7363,                0.02126,                0.43529,                0.10617,                0.03778,                 2.0397,                 3.0899,                 1.9986,                 0.0865,                 0.0015,                 0.0015
                      2,                  2.093,                 1.9636,                 1.6257,                0.45248,                0.26588,                 0.3215,                0.12421,                 1.9452,                 2.0872,                 2.0032,               0.071947,              0.0029465,              0.0029465
                      3,                 2.3514,                 2.1216,                 1.7421,                0.00742,                0.15176,                0.00437,                0.00111,                 3.7441,                    inf,                 27.999,               0.057235,              0.0042347,              0.0042347
                      4,                 2.3617,                 2.0083,                 1.7655,                0.01433,                0.28941,                0.00935,                0.00327,                 2.9992,                 17.127,                 3.3574,               0.042364,              0.0053644,              0.0053644
                      5,                 2.2876,                 1.9971,                 1.6753,                0.14702,                0.18588,                0.08762,                0.02161,                 2.5427,                 3.6346,                 2.3656,               0.027336,              0.0063358,              0.0063358
                      6,                 2.2017,                 1.9858,                 1.6906,                0.17167,                0.12824,                0.07103,                0.01991,                 2.9636,                 6.6982,                    3.3,               0.012149,              0.0071487,              0.0071487
                      7,                 2.2279,                 1.9147,                 1.6664,                0.04997,                0.24824,                0.03491,                0.01486,                 2.3043,                  4.059,                 2.6636,                0.00703,                0.00703,                0.00703
                      8,                 2.1764,                 1.7678,                 1.6224,                0.06325,                0.25647,                0.03303,                0.01066,                 2.6806,                 3.5687,                  2.645,               0.006535,               0.006535,               0.006535
                      9,                 2.0245,                  1.646,                 1.5431,                0.52316,                0.51765,                0.48081,                0.19948,                 1.8922,                 1.7045,                 1.6198,                0.00604,                0.00604,                0.00604
                     10,                  1.945,                 1.5276,                 1.5084,                0.38355,                0.50471,                0.38409,                0.15607,                 1.9701,                 1.9083,                 1.6539,               0.005545,               0.005545,               0.005545
                     11,                 1.8259,                  1.982,                 1.5291,                0.54209,                0.47882,                0.48069,                0.23687,                 1.6203,                 1.9427,                  1.484,                0.00505,                0.00505,                0.00505
                     12,                 1.7616,                 1.6295,                 1.4881,                0.34517,                0.44353,                 0.2886,                0.11183,                 1.8528,                 1.9912,                 1.6199,               0.004555,               0.004555,               0.004555
                     13,                 1.6751,                 1.4825,                  1.401,                0.64632,                0.60196,                0.65234,                0.32753,                 1.6612,                 1.4973,                 1.4433,                0.00406,                0.00406,                0.00406
                     14,                 1.6852,                 1.3805,                 1.3843,                0.64907,                0.66802,                0.69397,                0.36141,                 1.5217,                  1.378,                 1.3675,               0.003565,               0.003565,               0.003565
                     15,                 1.5714,                  1.352,                 1.3576,                0.72447,                   0.66,                0.73066,                0.40147,                 1.4558,                 1.2908,                 1.3107,                0.00307,                0.00307,                0.00307
                     16,                  1.518,                 1.2856,                 1.3269,                0.71349,                0.63281,                0.71833,                0.39548,                 1.5028,                 1.2184,                 1.3353,               0.002575,               0.002575,               0.002575
                     17,                 1.5063,                  1.213,                 1.2956,                0.79488,                0.66118,                0.78557,                0.46511,                 1.3685,                 1.1362,                  1.266,                0.00208,                0.00208,                0.00208
                     18,                 1.4295,                 1.1648,                 1.2789,                0.73417,                0.70471,                0.77048,                0.45513,                 1.3564,                 1.1399,                 1.2588,               0.001585,               0.001585,               0.001585
                     19,                 1.3709,                 1.1509,                 1.2705,                0.79162,                0.71954,                  0.818,                0.48791,                 1.3222,                 1.0369,                 1.2294,                0.00109,                0.00109,                0.00109
                     20,                 1.3432,                 1.0833,                 1.2329,                0.81308,                   0.72,                0.82637,                0.49841,                 1.2969,                 1.0172,                 1.2246,               0.000595,               0.000595,               0.000595
