                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3472,                 3.1909,                 1.8863,                0.02534,                0.51882,                0.07257,                0.02605,                 1.8252,                  2.998,                  1.572,                 0.0937,                 0.0007,                 0.0007
                      2,                 2.0433,                 1.9867,                 1.5708,                0.04034,                0.82588,                0.15442,                0.04383,                 2.1158,                 2.9071,                 1.8619,               0.086426,              0.0014257,              0.0014257
                      3,                 1.9622,                 1.8164,                 1.5397,                0.01448,                0.29647,                 0.0106,                0.00361,                 2.6822,                  3.255,                 3.8818,               0.079072,              0.0020723,              0.0020723
                      4,                 1.9926,                 1.7758,                 1.5161,                0.25982,                0.28289,                0.17202,                0.06305,                 2.0459,                 2.2549,                 2.2491,                0.07164,              0.0026396,              0.0026396
                      5,                   1.95,                  1.608,                 1.4818,                0.03741,                0.62941,                0.03179,                0.01186,                 2.3216,                 5.3774,                 3.5603,               0.064128,              0.0031278,              0.0031278
                      6,                 1.9658,                  1.673,                 1.5156,                0.00718,                0.14706,                0.00423,                0.00115,                 2.9808,                    inf,                 7.6245,               0.056537,              0.0035367,              0.0035367
                      7,                 1.8717,                 1.5414,                 1.4748,                0.01213,                0.24824,                0.00757,                0.00287,                 3.1157,                    inf,                 9.3542,               0.048867,              0.0038665,              0.0038665
                      8,                 1.8073,                 1.5295,                 1.4214,                0.12433,                0.54471,                0.10288,                0.04163,                  2.018,                 5.0161,                 2.0181,               0.041117,              0.0041171,              0.0041171
                      9,                 1.8414,                 1.5089,                 1.4574,                0.54574,                0.51305,                0.52083,                0.21916,                 1.9431,                 1.7347,                 1.7923,               0.033288,              0.0042884,              0.0042884
                     10,                 2.0072,                 1.5562,                 1.5199,                0.00822,                0.16824,                 0.0048,                0.00183,                 2.6251,                    inf,                 3.0123,               0.025381,              0.0043806,              0.0043806
                     11,                 1.7847,                 1.6354,                 1.4792,                0.36928,                0.36706,                 0.2958,                0.12368,                 1.9438,                 2.1873,                 1.8343,               0.017394,              0.0043935,              0.0043935
                     12,                 1.8206,                 1.5478,                 1.5244,                0.03724,                0.38824,                0.02648,                0.01084,                 2.0825,                    inf,                  1.921,              0.0093273,              0.0043273,              0.0043273
                     13,                 1.7687,                  1.479,                 1.4583,                0.25856,                0.28824,                0.17697,                0.08432,                 1.9815,                 2.2756,                 1.8037,                0.00406,                0.00406,                0.00406
                     14,                 1.6956,                 1.4263,                 1.3969,                0.60617,                   0.54,                0.55976,                0.28152,                 1.6428,                 1.7617,                 1.5442,               0.003565,               0.003565,               0.003565
                     15,                 1.5884,                 1.3081,                 1.3347,                0.56925,                0.51059,                0.50237,                0.25784,                 1.5609,                 1.8672,                  1.469,                0.00307,                0.00307,                0.00307
                     16,                 1.5156,                 1.2235,                   1.31,                0.70943,                0.62471,                0.68926,                0.37962,                 1.5004,                 1.2753,                 1.3715,               0.002575,               0.002575,               0.002575
                     17,                 1.4565,                 1.1598,                 1.2701,                 0.7186,                0.69647,                 0.7474,                 0.4379,                 1.3986,                 1.1652,                 1.3094,                0.00208,                0.00208,                0.00208
                     18,                 1.3917,                 1.1091,                 1.2472,                 0.7261,                0.70486,                0.77329,                0.46249,                 1.3621,                 1.1064,                 1.2629,               0.001585,               0.001585,               0.001585
                     19,                 1.3173,                 1.0638,                 1.2314,                0.79482,                0.71097,                0.81528,                0.48362,                 1.3355,                 1.0187,                 1.2455,                0.00109,                0.00109,                0.00109
                     20,                 1.2942,                 1.0114,                 1.1952,                0.76639,                0.75529,                0.82427,                0.50135,                 1.2995,                 0.9883,                 1.2262,               0.000595,               0.000595,               0.000595
