                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3667,                 3.4645,                 1.9659,                0.03753,                0.76824,                0.10931,                0.04663,                 1.5378,                 3.0479,                 1.2595,                 0.0865,                 0.0015,                 0.0015
                      2,                 1.8526,                 2.6334,                 1.4641,                0.04316,                0.88353,                0.41109,                0.18013,                 1.6873,                 2.5611,                 1.2705,               0.071947,              0.0029465,              0.0029465
                      3,                 1.7904,                 1.6654,                 1.3458,                0.70465,                0.57412,                0.61711,                 0.2918,                 1.6949,                 1.5408,                 1.3614,               0.057235,              0.0042347,              0.0042347
                      4,                 1.6377,                 1.4769,                 1.2873,                0.56651,                0.52121,                0.48514,                0.23936,                 1.7906,                 1.7982,                 1.4849,               0.042364,              0.0053644,              0.0053644
                      5,                 1.5896,                 1.3824,                 1.2555,                0.65062,                0.59647,                0.62406,                0.32133,                 1.5797,                 1.6195,                 1.3382,               0.027336,              0.0063358,              0.0063358
                      6,                 1.5231,                 1.3452,                  1.263,                0.69915,                0.66235,                0.71321,                0.37012,                 1.5149,                 1.3872,                 1.3008,               0.012149,              0.0071487,              0.0071487
                      7,                 1.5167,                 1.3054,                 1.2372,                0.75434,                0.70235,                0.76788,                0.43764,                 1.3986,                 1.1902,                  1.238,                0.00703,                0.00703,                0.00703
                      8,                  1.517,                 1.2455,                 1.2327,                  0.805,                0.65059,                0.75937,                0.42139,                 1.4062,                 1.2085,                 1.2563,               0.006535,               0.006535,               0.006535
                      9,                 1.4851,                 1.2185,                 1.2236,                0.71903,                0.67882,                0.72308,                0.40327,                 1.3889,                  1.298,                 1.2429,                0.00604,                0.00604,                0.00604
                     10,                 1.4557,                 1.2094,                 1.2121,                0.76939,                0.69294,                0.77348,                0.43527,                 1.3702,                 1.2141,                 1.2202,               0.005545,               0.005545,               0.005545
                     11,                 1.3795,                 1.3391,                 1.1908,                 0.7209,                   0.66,                0.73322,                 0.4323,                 1.2937,                 1.2276,                 1.1768,                0.00505,                0.00505,                0.00505
                     12,                 1.3594,                 1.2744,                 1.1947,                0.76881,                0.68118,                0.78244,                0.46133,                 1.2791,                 1.2157,                  1.177,               0.004555,               0.004555,               0.004555
                     13,                 1.3341,                 1.2103,                  1.154,                0.78345,                0.75336,                0.82448,                0.49632,                 1.2624,                 1.2028,                 1.1654,                0.00406,                0.00406,                0.00406
                     14,                 1.3503,                 1.1863,                 1.1597,                0.79184,                0.71882,                0.81982,                0.50147,                 1.2672,                 1.1189,                 1.1761,               0.003565,               0.003565,               0.003565
                     15,                 1.3413,                 1.1908,                 1.1782,                0.79344,                0.73882,                0.83047,                0.50766,                 1.2472,                 1.1011,                 1.1644,                0.00307,                0.00307,                0.00307
                     16,                  1.329,                 1.1644,                 1.1715,                0.79116,                0.77412,                0.83978,                0.50463,                 1.2602,                  1.076,                 1.1556,               0.002575,               0.002575,               0.002575
                     17,                 1.3004,                 1.1109,                 1.1412,                0.81335,                0.74588,                0.84801,                0.51956,                  1.247,                  1.038,                 1.1511,                0.00208,                0.00208,                0.00208
                     18,                 1.2861,                  1.106,                 1.1432,                0.80831,                0.70353,                0.83267,                0.51733,                 1.2343,                 1.0561,                 1.1447,               0.001585,               0.001585,               0.001585
                     19,                 1.2521,                 1.1104,                 1.1528,                 0.8177,                0.75462,                 0.8532,                0.52839,                 1.2285,                 1.0304,                  1.131,                0.00109,                0.00109,                0.00109
                     20,                 1.2345,                 1.0663,                 1.1255,                0.80411,                0.76787,                0.85501,                0.53355,                 1.2176,                 1.0103,                 1.1274,               0.000595,               0.000595,               0.000595
