                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0971,                   2.52,                 1.6587,                0.38447,                0.39059,                0.32795,                0.11985,                 2.2006,                 2.1608,                 1.8781,                 0.0865,                 0.0015,                 0.0015
                      2,                 1.7739,                 1.5747,                 1.4358,                0.38125,                0.36706,                 0.3058,                0.10424,                 2.4817,                 3.0156,                 2.7563,               0.071947,              0.0029465,              0.0029465
                      3,                 1.8032,                 1.4819,                 1.4339,                0.27554,                0.17529,                0.13942,                 0.0372,                 3.0398,                  3.865,                 3.4899,               0.057235,              0.0042347,              0.0042347
                      4,                 1.7392,                 1.3736,                 1.3827,                 0.0069,                0.14118,                0.00399,                0.00123,                 3.8863,                 12.911,                 4.8201,               0.042364,              0.0053644,              0.0053644
                      5,                  1.735,                 1.3441,                 1.3752,                0.43133,                0.15412,                0.16327,                0.07334,                 2.4891,                 4.3103,                  2.317,               0.027336,              0.0063358,              0.0063358
                      6,                 1.6344,                 1.3118,                 1.3617,                0.54276,                0.54588,                0.50634,                0.22714,                 1.9541,                 1.6138,                 1.7239,               0.012149,              0.0071487,              0.0071487
                      7,                 1.6625,                 1.2821,                   1.35,                0.48083,                0.51294,                0.47739,                0.21431,                 1.8933,                 1.8129,                 1.6146,                0.00703,                0.00703,                0.00703
                      8,                 1.6289,                 1.2294,                 1.3081,                0.64767,                0.59529,                0.63434,                0.31997,                 1.6449,                 1.4705,                 1.4523,               0.006535,               0.006535,               0.006535
                      9,                 1.6038,                 1.2101,                 1.3129,                0.64037,                0.61647,                0.64227,                0.32416,                 1.6229,                 1.4418,                 1.3942,                0.00604,                0.00604,                0.00604
                     10,                 1.5639,                 1.2044,                  1.321,                0.51684,                0.45294,                0.46843,                0.23936,                 1.6325,                 2.7767,                 1.4725,               0.005545,               0.005545,               0.005545
                     11,                 1.5034,                 1.3049,                 1.3072,                 0.7716,                0.65976,                0.74389,                0.40042,                 1.5004,                  1.223,                 1.3817,                0.00505,                0.00505,                0.00505
                     12,                 1.4925,                 1.2426,                 1.3431,                0.78732,                   0.68,                0.77082,                0.42774,                 1.4667,                 1.1852,                 1.3393,               0.004555,               0.004555,               0.004555
                     13,                 1.4809,                 1.1476,                 1.2855,                0.76751,                0.72941,                0.78887,                0.42502,                 1.4998,                 1.3853,                 1.3415,                0.00406,                0.00406,                0.00406
                     14,                 1.4707,                 1.1235,                 1.2646,                0.68198,                0.70588,                0.71812,                0.38374,                 1.5182,                 1.3379,                   1.38,               0.003565,               0.003565,               0.003565
                     15,                 1.4544,                 1.1298,                 1.2883,                0.79221,                0.72118,                0.80484,                0.45835,                 1.4046,                 1.1201,                 1.2774,                0.00307,                0.00307,                0.00307
                     16,                 1.3938,                 1.1167,                 1.2473,                0.74282,                0.70353,                0.77703,                0.42365,                 1.4234,                 1.2129,                 1.2848,               0.002575,               0.002575,               0.002575
                     17,                 1.4128,                 1.0963,                 1.2261,                0.80557,                0.74235,                0.81612,                0.47427,                 1.3262,                  1.097,                 1.2325,                0.00208,                0.00208,                0.00208
                     18,                 1.3552,                  1.083,                 1.2195,                0.79994,                0.74118,                0.82908,                0.49344,                 1.3005,                 1.0196,                 1.2262,               0.001585,               0.001585,               0.001585
                     19,                 1.3216,                 1.0508,                 1.2364,                0.81213,                0.76118,                0.83514,                0.50105,                 1.2916,                 0.9823,                 1.2198,                0.00109,                0.00109,                0.00109
                     20,                 1.3052,                   1.01,                 1.2074,                0.81403,                0.75176,                0.84694,                0.51042,                 1.2751,                0.96646,                 1.2093,               0.000595,               0.000595,               0.000595
