                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0218,                 2.5431,                 1.5961,                0.74693,                0.56945,                0.63627,                0.30468,                 1.6225,                 1.9008,                 1.2951,                 0.0006,                 0.0006,                 0.0006
                      2,                 1.7146,                 1.4942,                 1.3313,                0.65789,                0.58596,                0.63642,                0.32332,                 1.6064,                 1.4569,                  1.404,              0.0011596,              0.0011596,              0.0011596
                      3,                 1.5852,                 1.3803,                 1.2923,                0.76173,                0.59048,                0.68776,                0.37593,                 1.5012,                 1.3475,                 1.3089,              0.0016578,              0.0016578,              0.0016578
                      4,                 1.5738,                 1.3436,                 1.2871,                0.73836,                0.66588,                0.74692,                0.41396,                 1.4788,                 1.2211,                 1.3011,               0.001703,               0.001703,               0.001703
                      5,                 1.5155,                 1.2557,                 1.2504,                0.75714,                0.69322,                0.76213,                0.43185,                 1.4086,                 1.2112,                 1.2812,               0.001604,               0.001604,               0.001604
                      6,                 1.4967,                 1.2405,                 1.2461,                0.79193,                0.66824,                0.77096,                0.45465,                  1.335,                 1.1489,                  1.207,               0.001505,               0.001505,               0.001505
                      7,                 1.4567,                 1.1933,                 1.2362,                0.78159,                0.72706,                0.80038,                0.47402,                 1.3119,                 1.0821,                 1.2129,               0.001406,               0.001406,               0.001406
                      8,                 1.4704,                 1.2036,                 1.2321,                0.79465,                0.69202,                0.79902,                 0.4718,                 1.3137,                 1.1444,                 1.1954,               0.001307,               0.001307,               0.001307
                      9,                 1.4312,                 1.1267,                 1.2058,                0.79474,                0.74118,                 0.8342,                0.49982,                 1.2915,                 1.0409,                 1.1879,               0.001208,               0.001208,               0.001208
                     10,                 1.4048,                 1.1352,                 1.1909,                0.78707,                0.69529,                0.80366,                0.49025,                 1.2769,                  1.108,                 1.1842,               0.001109,               0.001109,               0.001109
                     11,                 1.3373,                 1.2753,                 1.1745,                0.80863,                0.69529,                0.81892,                0.49732,                 1.2635,                 1.1257,                 1.1715,                0.00101,                0.00101,                0.00101
                     12,                 1.3184,                 1.1693,                 1.1806,                0.77812,                0.74588,                 0.8321,                0.50743,                 1.2277,                 1.0833,                 1.1637,               0.000911,               0.000911,               0.000911
                     13,                 1.3022,                 1.1314,                 1.1589,                0.80807,                0.74588,                0.84238,                0.52402,                 1.2361,                 1.0478,                 1.1592,               0.000812,               0.000812,               0.000812
                     14,                 1.2814,                 1.0935,                 1.1384,                0.79753,                0.77391,                0.85779,                0.52559,                 1.2406,                 1.0079,                 1.1627,               0.000713,               0.000713,               0.000713
                     15,                 1.2808,                 1.0722,                 1.1637,                0.84239,                0.77969,                0.86441,                 0.5359,                 1.2471,                0.96766,                 1.1686,               0.000614,               0.000614,               0.000614
                     16,                 1.2625,                 1.0533,                 1.1476,                0.81226,                    0.8,                0.87057,                0.52807,                  1.261,                 0.9631,                 1.1655,               0.000515,               0.000515,               0.000515
                     17,                 1.2642,                 1.0174,                 1.1385,                0.84149,                0.76822,                 0.8725,                0.54436,                 1.2227,                0.94601,                 1.1447,               0.000416,               0.000416,               0.000416
                     18,                 1.2458,                 1.0038,                 1.1337,                0.81738,                0.80567,                0.87824,                0.55056,                 1.2132,                0.94354,                 1.1423,               0.000317,               0.000317,               0.000317
                     19,                 1.2451,                 1.0094,                  1.142,                0.83449,                0.79487,                 0.8799,                0.54896,                 1.2221,                0.91782,                 1.1412,               0.000218,               0.000218,               0.000218
                     20,                 1.2258,                0.99596,                 1.1325,                0.83352,                0.78588,                0.87506,                0.55663,                  1.205,                0.90835,                 1.1374,               0.000119,               0.000119,               0.000119
