                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4651,                 3.5254,                 2.0599,                0.02207,                0.45176,                0.02589,                0.01046,                 1.6192,                 3.2015,                 1.4253,                 0.0937,                 0.0007,                 0.0007
                      2,                 1.9484,                 3.1786,                 1.6803,                0.03948,                0.80824,                0.05532,                0.02583,                 1.4456,                 2.9817,                 1.2731,               0.086426,              0.0014257,              0.0014257
                      3,                 1.7597,                 2.2432,                  1.549,                0.04425,                0.90588,                0.58418,                0.25385,                 1.4274,                 2.5319,                 1.4807,               0.079072,              0.0020723,              0.0020723
                      4,                 1.6249,                 1.6506,                 1.4716,                 0.0458,                0.93765,                0.61224,                0.30268,                 1.2714,                 2.5393,                 1.3059,                0.07164,              0.0026396,              0.0026396
                      5,                 1.5264,                 1.4437,                 1.3416,                0.04477,                0.91647,                0.71006,                0.37245,                 1.2912,                 2.4688,                 1.2438,               0.064128,              0.0031278,              0.0031278
                      6,                 1.4701,                 1.3601,                 1.2876,                0.04552,                0.93176,                0.75593,                 0.4156,                 1.2568,                 2.3049,                 1.1787,               0.056537,              0.0035367,              0.0035367
                      7,                 1.4542,                 1.2857,                 1.2448,                0.49398,                0.76824,                0.70525,                0.38805,                 1.2691,                 2.3094,                 1.1966,               0.048867,              0.0038665,              0.0038665
                      8,                 1.4756,                 1.2421,                 1.2328,                 0.9328,                0.34941,                  0.742,                 0.4219,                 1.3077,                 2.1139,                 1.2144,               0.041117,              0.0041171,              0.0041171
                      9,                 1.4261,                 1.2012,                 1.2277,                0.90598,                0.36276,                0.66999,                0.37876,                 1.3208,                 2.1604,                 1.2399,               0.033288,              0.0042884,              0.0042884
                     10,                 1.3871,                 1.1668,                 1.2084,                0.85762,                0.41102,                0.63778,                0.35074,                 1.3589,                  2.157,                 1.2571,               0.025381,              0.0043806,              0.0043806
                     11,                 1.3323,                 1.2896,                 1.1915,                0.93367,                0.46367,                0.77574,                0.46627,                 1.2544,                 1.9571,                 1.1507,               0.017394,              0.0043935,              0.0043935
                     12,                 1.2956,                 1.2059,                 1.1713,                 0.8269,                0.65294,                0.76742,                0.46179,                 1.2791,                 1.6665,                 1.1685,              0.0093273,              0.0043273,              0.0043273
                     13,                 1.3193,                  1.177,                 1.1689,                0.78112,                0.66118,                0.77766,                0.47798,                 1.2515,                 1.4956,                 1.1523,                0.00406,                0.00406,                0.00406
                     14,                  1.299,                 1.1376,                 1.1435,                0.81609,                0.69529,                0.81265,                0.49468,                 1.2582,                 1.3903,                 1.1559,               0.003565,               0.003565,               0.003565
                     15,                 1.2864,                 1.1215,                 1.1458,                0.78007,                0.69765,                0.79884,                0.48688,                 1.2702,                 1.2933,                  1.162,                0.00307,                0.00307,                0.00307
                     16,                 1.2713,                 1.0693,                  1.136,                 0.8202,                0.73412,                0.82753,                0.49113,                 1.2936,                 1.1067,                 1.1689,               0.002575,               0.002575,               0.002575
                     17,                 1.2415,                 1.0663,                 1.1155,                0.78544,                0.78353,                  0.848,                0.52251,                 1.2308,                  1.096,                 1.1503,                0.00208,                0.00208,                0.00208
                     18,                 1.2285,                 1.0442,                 1.1163,                0.79917,                 0.7631,                0.83095,                0.51737,                 1.2268,                 1.1059,                 1.1499,               0.001585,               0.001585,               0.001585
                     19,                 1.1995,                  1.027,                 1.1194,                 0.8092,                0.76471,                0.84229,                0.52177,                  1.238,                 1.0415,                 1.1461,                0.00109,                0.00109,                0.00109
                     20,                 1.2094,                  1.007,                 1.1027,                0.80447,                0.76478,                0.84601,                0.53014,                 1.2133,                 1.0086,                 1.1305,               0.000595,               0.000595,               0.000595
