                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9333,                 2.1527,                 1.5584,                 0.0989,                0.46564,                0.08017,                 0.0325,                   2.18,                 5.4777,                 3.0132,                  0.073,                  0.003,                  0.003
                      2,                 1.9292,                 1.6566,                 1.5847,                0.26038,                   0.38,                0.23423,                0.08293,                 2.2766,                 5.6715,                  3.094,               0.044496,              0.0054961,              0.0054961
                      3,                 1.8181,                  1.587,                 1.5319,                0.24037,                0.22588,                0.18905,                0.07227,                 2.4419,                 2.6687,                 2.6229,               0.015378,              0.0073784,              0.0073784
                      4,                 1.7845,                 1.4847,                 1.4901,                0.58335,                0.54706,                0.55738,                0.27233,                 1.6975,                 1.9693,                 1.5722,                0.00703,                0.00703,                0.00703
                      5,                 1.7243,                 1.4081,                 1.4721,                0.47265,                0.45552,                0.42386,                0.19505,                 1.7914,                 1.9103,                 1.5634,                0.00604,                0.00604,                0.00604
                      6,                 1.7385,                 1.4126,                 1.4637,                0.66819,                0.59529,                0.64636,                0.33119,                 1.6315,                 1.4697,                 1.4727,                0.00505,                0.00505,                0.00505
                      7,                 1.6403,                 1.3254,                 1.3916,                0.63323,                0.64353,                0.66703,                0.33228,                 1.6567,                 1.3388,                 1.4282,                0.00406,                0.00406,                0.00406
                      8,                  1.639,                 1.3004,                 1.3858,                0.72414,                0.65473,                0.74133,                0.38566,                  1.535,                 1.2658,                 1.3585,                0.00307,                0.00307,                0.00307
                      9,                 1.5621,                 1.2588,                  1.345,                0.75294,                0.67405,                 0.7653,                0.41231,                 1.4951,                 1.1916,                 1.3229,                0.00208,                0.00208,                0.00208
                     10,                 1.5158,                 1.2149,                 1.3268,                0.76566,                0.69294,                0.77973,                0.43869,                 1.4449,                 1.1371,                 1.2985,                0.00109,                0.00109,                0.00109
