                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.011,                 2.0961,                 1.5746,                0.43844,                0.45765,                0.39843,                0.15024,                 2.1288,                 2.3473,                  2.271,                  0.073,                  0.003,                  0.003
                      2,                 1.9344,                 1.6362,                 1.5053,                0.00653,                0.12941,                0.00363,                0.00084,                 3.9141,                    inf,                 9.9955,               0.044798,               0.005798,               0.005798
                      3,                 1.8231,                  1.507,                 1.4622,                0.00148,                0.02941,                0.00083,                0.00015,                 3.9878,                    inf,                 9.8208,               0.016289,              0.0082892,              0.0082892
                      4,                 1.8062,                 1.4541,                 1.4366,                0.00207,                0.04235,                 0.0011,                0.00038,                 3.1876,                    inf,                 7.1212,               0.008515,               0.008515,               0.008515
                      5,                 1.7209,                 1.3632,                 1.3803,                0.00833,                0.17059,                0.00995,                0.00576,                 3.2487,                 5.0148,                 4.7599,                0.00802,                0.00802,                0.00802
                      6,                 1.7095,                 1.3728,                 1.3967,                0.41976,                0.46469,                0.35578,                0.17089,                 1.8074,                 1.9473,                 1.5657,               0.007525,               0.007525,               0.007525
                      7,                 1.6341,                   1.33,                 1.3712,                0.69373,                0.62353,                0.66324,                0.34629,                  1.588,                 1.4448,                 1.4208,                0.00703,                0.00703,                0.00703
                      8,                 1.6455,                 1.3082,                 1.3618,                0.66203,                0.67059,                0.69735,                 0.3527,                 1.6193,                 1.3267,                 1.4243,               0.006535,               0.006535,               0.006535
                      9,                 1.6073,                 1.2325,                 1.3263,                0.67322,                0.67622,                0.70816,                0.37957,                 1.5293,                  1.265,                 1.3608,                0.00604,                0.00604,                0.00604
                     10,                 1.5925,                 1.2457,                 1.3271,                0.68701,                0.63268,                0.71242,                0.38944,                 1.4857,                 1.2455,                 1.3295,               0.005545,               0.005545,               0.005545
                     11,                 1.4865,                 1.2942,                 1.3184,                0.70444,                0.63059,                0.71342,                0.41158,                 1.4041,                 1.2524,                  1.286,                0.00505,                0.00505,                0.00505
                     12,                 1.4606,                 1.2421,                 1.3187,                0.75973,                0.69765,                0.78434,                0.44903,                 1.4172,                  1.245,                  1.317,               0.004555,               0.004555,               0.004555
                     13,                 1.4622,                 1.1904,                 1.2824,                0.75003,                0.70954,                 0.7798,                0.44355,                 1.4268,                 1.4279,                 1.3146,                0.00406,                0.00406,                0.00406
                     14,                 1.4419,                 1.1583,                 1.2552,                0.74079,                0.75882,                0.81145,                 0.4625,                 1.4135,                 1.1042,                 1.2991,               0.003565,               0.003565,               0.003565
                     15,                 1.4342,                 1.1352,                 1.2861,                 0.7967,                0.70706,                0.81387,                0.45483,                 1.4163,                 1.1571,                 1.2935,                0.00307,                0.00307,                0.00307
                     16,                 1.3836,                 1.1282,                 1.2472,                0.81073,                0.74581,                0.83524,                0.48361,                 1.3592,                 1.0395,                 1.2612,               0.002575,               0.002575,               0.002575
                     17,                 1.3889,                 1.1061,                 1.2478,                0.82508,                0.72706,                0.83345,                0.49062,                 1.3681,                 1.0375,                 1.2691,                0.00208,                0.00208,                0.00208
                     18,                 1.3803,                 1.0863,                 1.2475,                0.79013,                0.76625,                0.83618,                0.47852,                 1.3643,                  1.057,                 1.2754,               0.001585,               0.001585,               0.001585
                     19,                 1.3972,                 1.0949,                 1.2681,                0.80082,                0.75211,                0.84099,                0.50226,                 1.3186,                 1.0032,                 1.2431,                0.00109,                0.00109,                0.00109
                     20,                 1.3659,                 1.0803,                 1.2483,                0.82046,                0.72588,                0.83937,                0.49974,                 1.3131,                0.99888,                  1.245,               0.000595,               0.000595,               0.000595
