                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3556,                 2.4313,                 1.8168,                0.03833,                0.78471,                0.08075,                0.02573,                 2.3682,                 2.5987,                 2.0567,                  0.073,                  0.003,                  0.003
                      2,                 2.5412,                 2.4724,                 1.9177,                0.18599,                0.18198,                0.10428,                0.03119,                 2.5026,                 2.4877,                 2.9648,               0.044798,               0.005798,               0.005798
                      3,                 2.6132,                  2.566,                 2.0097,                0.15353,                0.19059,                0.08434,                0.02281,                 2.7171,                 5.6303,                 3.0577,               0.016289,              0.0082892,              0.0082892
                      4,                 2.8449,                 2.6027,                 2.1327,                0.00241,                0.04941,                0.00128,                0.00026,                    nan,                    nan,                    nan,               0.008515,               0.008515,               0.008515
                      5,                  2.675,                  2.452,                 1.9727,                0.01659,                0.23529,                 0.0114,                0.00339,                 3.1984,                 8.1009,                 3.6019,                0.00802,                0.00802,                0.00802
                      6,                 2.3687,                 2.3341,                 1.7495,                0.22507,                0.25059,                0.14883,                0.05516,                 2.3779,                 3.2342,                 1.8229,               0.007525,               0.007525,               0.007525
                      7,                  2.379,                 2.1175,                 1.7876,                0.36826,                0.31176,                0.29747,                0.09694,                 2.2783,                 2.0994,                 1.8808,                0.00703,                0.00703,                0.00703
                      8,                 2.2001,                 1.9122,                  1.701,                0.36123,                0.37523,                0.30739,                0.12076,                 2.2558,                  2.046,                  1.808,               0.006535,               0.006535,               0.006535
                      9,                  2.112,                 1.7301,                 1.6092,                0.47354,                0.46706,                0.44818,                0.17957,                 2.0018,                 1.8273,                 1.6636,                0.00604,                0.00604,                0.00604
                     10,                 2.0178,                 1.6841,                 1.5575,                0.36422,                0.32941,                0.27424,                0.10382,                  2.147,                 4.3052,                  1.749,               0.005545,               0.005545,               0.005545
                     11,                 1.9397,                 1.8258,                 1.5642,                0.48148,                0.46235,                0.46009,                0.21252,                 1.8221,                 1.9232,                 1.5182,                0.00505,                0.00505,                0.00505
                     12,                 1.8943,                 1.6809,                 1.5346,                0.50177,                0.47393,                0.49138,                0.24444,                   1.65,                 2.1393,                 1.4538,               0.004555,               0.004555,               0.004555
                     13,                 1.7156,                 1.5813,                  1.423,                0.56456,                0.47412,                0.52404,                 0.2706,                 1.7306,                   1.55,                 1.4572,                0.00406,                0.00406,                0.00406
                     14,                 1.7152,                  1.527,                 1.4026,                0.62236,                   0.58,                0.62401,                0.31439,                 1.6025,                 1.5451,                 1.3926,               0.003565,               0.003565,               0.003565
                     15,                 1.6935,                 1.4628,                 1.4057,                0.68982,                0.58824,                0.66347,                0.34529,                 1.5829,                 1.4223,                 1.3923,                0.00307,                0.00307,                0.00307
                     16,                 1.6289,                 1.4055,                 1.3761,                0.69617,                0.65176,                0.71026,                0.37683,                  1.554,                 1.3202,                 1.3648,               0.002575,               0.002575,               0.002575
                     17,                 1.5786,                 1.3387,                 1.3445,                0.71023,                   0.68,                0.71974,                0.38734,                 1.4724,                 1.2596,                 1.3283,                0.00208,                0.00208,                0.00208
                     18,                 1.5155,                  1.302,                 1.3201,                 0.7465,                0.67294,                0.76286,                0.42909,                 1.4337,                 1.1887,                 1.2882,               0.001585,               0.001585,               0.001585
                     19,                 1.5054,                 1.2883,                 1.3189,                0.74791,                0.62471,                0.73897,                 0.4081,                 1.4381,                 1.2638,                 1.2936,                0.00109,                0.00109,                0.00109
                     20,                 1.4879,                  1.271,                 1.3086,                0.76185,                    0.7,                0.78306,                0.45887,                  1.374,                 1.1328,                 1.2724,               0.000595,               0.000595,               0.000595
