                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0991,                 2.5055,                  1.667,                0.16564,                0.14235,                0.08316,                 0.0305,                 2.3282,                 2.7609,                 2.0256,                 0.0865,                 0.0015,                 0.0015
                      2,                 1.7542,                  1.575,                  1.447,                0.15081,                0.16941,                0.06989,                0.02567,                 2.2526,                 3.6664,                 2.8908,               0.071947,              0.0029465,              0.0029465
                      3,                 1.7975,                 1.4754,                 1.4388,                0.00334,                0.06824,                 0.0019,                0.00051,                 3.3223,                    inf,                 8.9305,               0.057235,              0.0042347,              0.0042347
                      4,                 1.7509,                 1.4056,                 1.4151,                 0.0195,                0.39294,                0.01476,                0.00449,                 3.1483,                 20.558,                 3.5474,               0.042364,              0.0053644,              0.0053644
                      5,                 1.6919,                 1.3228,                 1.3736,                0.22995,                0.25882,                0.16285,                 0.0542,                 2.2792,                  2.951,                 2.3455,               0.027336,              0.0063358,              0.0063358
                      6,                 1.6256,                 1.3002,                 1.3755,                0.54771,                0.50706,                 0.5067,                0.22342,                   1.88,                 1.7637,                 1.7791,               0.012149,              0.0071487,              0.0071487
                      7,                 1.6871,                 1.2773,                  1.368,                0.49228,                0.37647,                0.39628,                0.18357,                 1.8026,                 1.9811,                 1.5605,                0.00703,                0.00703,                0.00703
                      8,                 1.6632,                 1.2665,                 1.3632,                0.63191,                0.59294,                0.62617,                0.32532,                 1.5942,                 1.7418,                 1.4577,               0.006535,               0.006535,               0.006535
                      9,                 1.5853,                 1.2198,                 1.3228,                0.68123,                0.63529,                0.68156,                0.34987,                 1.5734,                 1.3982,                 1.4411,                0.00604,                0.00604,                0.00604
                     10,                 1.5543,                 1.2064,                 1.3186,                0.66388,                0.63412,                0.69114,                0.36703,                 1.5786,                  1.367,                 1.4419,               0.005545,               0.005545,               0.005545
                     11,                 1.4935,                 1.3199,                 1.3228,                0.69311,                0.69348,                0.72913,                0.39639,                 1.4586,                 1.2285,                 1.3804,                0.00505,                0.00505,                0.00505
                     12,                 1.4723,                  1.236,                 1.3458,                0.70967,                0.66716,                0.72974,                0.39781,                 1.5112,                 1.2926,                 1.4104,               0.004555,               0.004555,               0.004555
                     13,                 1.4451,                 1.1472,                 1.2845,                0.67606,                0.62854,                0.65734,                0.34358,                 1.5408,                  2.295,                 1.4304,                0.00406,                0.00406,                0.00406
                     14,                 1.4279,                  1.132,                 1.2627,                0.75473,                    0.7,                0.77036,                0.42993,                  1.448,                 1.2721,                 1.3178,               0.003565,               0.003565,               0.003565
                     15,                 1.4048,                 1.1401,                 1.2815,                0.80084,                0.72381,                0.79497,                0.45795,                 1.3584,                 1.1674,                 1.2715,                0.00307,                0.00307,                0.00307
                     16,                 1.3506,                 1.0964,                 1.2447,                0.72514,                 0.7356,                0.76695,                 0.4199,                 1.4167,                 1.1565,                  1.291,               0.002575,               0.002575,               0.002575
                     17,                 1.3859,                 1.0621,                 1.2365,                0.75574,                0.73765,                0.80928,                0.47508,                 1.3303,                 1.0497,                 1.2326,                0.00208,                0.00208,                0.00208
                     18,                 1.3469,                 1.0467,                 1.2363,                 0.7882,                0.72588,                0.82593,                0.49526,                 1.3049,                 1.0225,                 1.2361,               0.001585,               0.001585,               0.001585
                     19,                 1.3089,                  1.039,                  1.243,                0.78739,                0.73634,                0.83679,                0.50344,                 1.3101,                0.99896,                 1.2339,                0.00109,                0.00109,                0.00109
                     20,                   1.31,                 1.0022,                 1.2247,                0.80755,                 0.7405,                0.84532,                0.51864,                 1.2676,                0.97415,                 1.2131,               0.000595,               0.000595,               0.000595
