                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2441,                 3.3415,                 1.8545,                0.03994,                0.81765,                 0.1996,                0.08119,                 1.5754,                 2.8921,                 1.2329,                  0.073,                  0.003,                  0.003
                      2,                 1.8303,                 2.0791,                 1.3979,                0.69606,                0.55294,                0.61644,                0.30455,                 1.6376,                 1.5949,                 1.2926,               0.044798,               0.005798,               0.005798
                      3,                 1.6888,                 1.5531,                 1.3029,                0.69887,                0.57765,                0.60624,                0.31553,                 1.6323,                 1.8691,                 1.3882,               0.016289,              0.0082892,              0.0082892
                      4,                 1.6443,                 1.4919,                 1.3009,                0.68557,                0.55882,                0.60815,                0.32809,                 1.5754,                 1.9507,                 1.3642,               0.008515,               0.008515,               0.008515
                      5,                 1.5409,                 1.3668,                 1.2431,                0.77146,                0.62748,                0.72586,                0.40507,                  1.414,                  1.345,                 1.2536,                0.00802,                0.00802,                0.00802
                      6,                  1.549,                 1.3672,                 1.2578,                0.79923,                0.64471,                0.75581,                0.43322,                 1.3709,                 1.2268,                 1.2294,               0.007525,               0.007525,               0.007525
                      7,                 1.4957,                 1.3271,                 1.2394,                0.74236,                0.65412,                0.73966,                 0.4205,                  1.376,                 1.2115,                 1.2328,                0.00703,                0.00703,                0.00703
                      8,                 1.5133,                 1.3058,                 1.2483,                 0.7521,                0.67059,                0.74653,                0.42154,                 1.3693,                 1.2358,                 1.2382,               0.006535,               0.006535,               0.006535
                      9,                 1.4657,                 1.2204,                 1.2151,                0.79734,                0.70353,                0.79438,                 0.4615,                 1.3219,                 1.1671,                 1.1985,                0.00604,                0.00604,                0.00604
                     10,                 1.4551,                 1.2226,                 1.2032,                0.76583,                0.68353,                0.77044,                0.45496,                 1.3301,                   1.18,                 1.2043,               0.005545,               0.005545,               0.005545
                     11,                 1.4027,                 1.4008,                 1.2094,                0.74544,                0.60941,                0.71011,                0.41336,                 1.3207,                  1.272,                 1.2082,                0.00505,                0.00505,                0.00505
                     12,                 1.3674,                 1.3295,                 1.1949,                0.79337,                0.70469,                0.80088,                0.46727,                 1.2711,                 1.1747,                 1.1825,               0.004555,               0.004555,               0.004555
                     13,                 1.3595,                  1.256,                  1.186,                0.78004,                0.75099,                0.81983,                0.50158,                 1.2521,                 1.1615,                 1.1663,                0.00406,                0.00406,                0.00406
                     14,                 1.3389,                 1.2164,                 1.1539,                0.80553,                0.73059,                0.82917,                0.50368,                 1.2694,                 1.1311,                 1.1547,               0.003565,               0.003565,               0.003565
                     15,                 1.3375,                 1.2004,                 1.1611,                0.82841,                0.75647,                0.84838,                0.51751,                 1.2477,                 1.0654,                 1.1438,                0.00307,                0.00307,                0.00307
                     16,                 1.3149,                 1.1818,                 1.1626,                 0.7902,                0.77647,                0.84881,                0.51926,                 1.2468,                 1.0535,                 1.1625,               0.002575,               0.002575,               0.002575
                     17,                 1.3064,                 1.1595,                 1.1594,                0.79998,                0.76471,                0.84561,                0.52244,                 1.2486,                 1.0658,                 1.1592,                0.00208,                0.00208,                0.00208
                     18,                 1.2934,                  1.142,                 1.1497,                0.80686,                0.77652,                0.85447,                0.53235,                 1.2338,                 1.0521,                  1.147,               0.001585,               0.001585,               0.001585
                     19,                 1.2869,                 1.1341,                 1.1519,                0.80325,                0.78118,                0.85645,                0.53076,                 1.2403,                 1.0249,                 1.1435,                0.00109,                0.00109,                0.00109
                     20,                 1.2844,                 1.1276,                 1.1466,                0.81293,                0.77294,                0.86273,                 0.5342,                 1.2381,                 1.0018,                 1.1377,               0.000595,               0.000595,               0.000595
