                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1966,                 3.0543,                 1.7593,                0.73449,                0.36706,                0.44757,                0.18395,                 1.6231,                 2.5794,                 1.2357,                 0.0003,                 0.0003,                 0.0003
                      2,                 1.7481,                 1.6362,                 1.3246,                0.78346,                0.31073,                 0.5908,                 0.2898,                  1.553,                 2.2304,                 1.2278,              0.0003131,              0.0003131,              0.0003131
