                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2671,                 3.3943,                 1.8907,                0.03753,                0.76824,                0.05407,                0.02512,                  1.434,                 2.9773,                 1.2511,                 0.0865,                 0.0015,                 0.0015
                      2,                 1.6862,                 2.2875,                 1.5037,                0.45612,                0.60588,                0.52149,                0.22782,                 1.4304,                 2.4711,                 1.4164,               0.071947,              0.0029465,              0.0029465
                      3,                 1.6475,                 1.6401,                 1.4477,                0.55179,                0.76471,                0.70827,                0.38327,                 1.2915,                 2.3096,                 1.2245,               0.057235,              0.0042347,              0.0042347
                      4,                 1.5731,                 1.4624,                 1.3153,                0.90896,                0.42287,                0.76862,                0.42982,                 1.2805,                 2.0464,                 1.1918,               0.042364,              0.0053644,              0.0053644
                      5,                 1.5224,                   1.34,                 1.2505,                0.81225,                0.63765,                0.75574,                0.41446,                 1.3719,                 1.7375,                 1.2192,               0.027336,              0.0063358,              0.0063358
                      6,                 1.4767,                 1.3166,                 1.2524,                0.80873,                0.62118,                0.75395,                0.42828,                 1.3239,                 1.6926,                 1.2116,               0.012149,              0.0071487,              0.0071487
                      7,                 1.4867,                  1.268,                 1.2404,                0.77559,                0.62211,                0.74123,                0.42656,                  1.355,                 1.5386,                 1.2301,                0.00703,                0.00703,                0.00703
                      8,                 1.4725,                 1.2078,                 1.2095,                0.74319,                0.69176,                0.77344,                0.44777,                 1.3429,                 1.3097,                 1.2424,               0.006535,               0.006535,               0.006535
                      9,                 1.4273,                 1.1894,                 1.2087,                0.79127,                    0.7,                0.79817,                0.45863,                 1.3316,                 1.2469,                  1.226,                0.00604,                0.00604,                0.00604
                     10,                 1.4001,                 1.1749,                 1.2043,                 0.7626,                0.72118,                0.79368,                0.46816,                 1.3068,                 1.1657,                 1.2032,               0.005545,               0.005545,               0.005545
                     11,                 1.3173,                 1.2857,                 1.1693,                0.78524,                0.70353,                0.79863,                0.48418,                 1.2576,                 1.1825,                 1.1695,                0.00505,                0.00505,                0.00505
                     12,                 1.2938,                 1.2174,                 1.1773,                0.76734,                0.75273,                0.82032,                0.50409,                  1.231,                 1.0849,                 1.1421,               0.004555,               0.004555,               0.004555
                     13,                 1.2858,                 1.1616,                 1.1387,                0.81114,                0.74277,                0.82949,                0.50966,                 1.2218,                 1.0381,                 1.1361,                0.00406,                0.00406,                0.00406
                     14,                 1.2857,                 1.1254,                 1.1277,                0.78344,                0.73176,                0.81267,                0.47375,                 1.2902,                 1.1156,                 1.1704,               0.003565,               0.003565,               0.003565
                     15,                 1.2642,                 1.1358,                 1.1355,                0.80835,                0.75294,                 0.8424,                0.52427,                  1.209,                 1.0092,                 1.1265,                0.00307,                0.00307,                0.00307
                     16,                  1.242,                 1.0839,                 1.1238,                0.79426,                0.78353,                0.85138,                0.52026,                 1.2266,                0.99891,                 1.1352,               0.002575,               0.002575,               0.002575
                     17,                  1.237,                 1.0465,                 1.1074,                0.80281,                0.77529,                0.84911,                0.52763,                 1.2119,                0.99437,                  1.127,                0.00208,                0.00208,                0.00208
                     18,                 1.2135,                  1.038,                 1.1026,                0.77816,                 0.7882,                0.84843,                0.52878,                 1.2045,                0.99384,                 1.1278,               0.001585,               0.001585,               0.001585
                     19,                 1.1962,                  1.042,                 1.1226,                0.78452,                0.78588,                0.85321,                0.53177,                  1.201,                0.97586,                 1.1246,                0.00109,                0.00109,                0.00109
                     20,                 1.1709,                 1.0013,                 1.0973,                 0.7943,                0.79046,                0.86092,                0.53799,                 1.1872,                0.95301,                 1.1176,               0.000595,               0.000595,               0.000595
