                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7968,                 4.6196,                  2.309,                0.00144,                0.02941,                0.00074,                0.00017,                 3.7176,                 3.8736,                 5.2403,                 0.0937,                 0.0007,                 0.0007
                      2,                 3.5532,                 4.1556,                 3.4187,                0.00144,                0.02941,                0.00074,                0.00017,                    nan,                    nan,                    nan,               0.086426,              0.0014257,              0.0014257
                      3,                   3.54,                 3.1166,                 2.6465,                0.00144,                0.02941,                0.00074,                0.00017,                    nan,                    nan,                    nan,               0.079072,              0.0020723,              0.0020723
                      4,                  3.451,                 2.9237,                 2.4209,                0.00017,                0.00353,                  9e-05,                  2e-05,                 4.2319,                    inf,                 537.74,                0.07164,              0.0026396,              0.0026396
                      5,                 3.4072,                 2.6833,                 2.3397,                0.00866,                0.01412,                0.00242,                0.00046,                 4.5764,                 8.7799,                 139.99,               0.064128,              0.0031278,              0.0031278
                      6,                  3.338,                 2.5419,                 2.3199,                0.00121,                0.02471,                0.00062,                0.00017,                 3.4704,                    inf,                   20.8,               0.056537,              0.0035367,              0.0035367
                      7,                 3.3136,                 2.5427,                  2.298,                0.00103,                0.02118,                0.00053,                  9e-05,                 4.0343,                    inf,                 11.141,               0.048867,              0.0038665,              0.0038665
                      8,                 3.2727,                 2.4683,                 2.2376,                0.00132,                0.02706,                0.00068,                0.00022,                 4.0518,                    inf,                 10.921,               0.041117,              0.0041171,              0.0041171
                      9,                 3.1666,                 2.4329,                 2.2027,                0.00178,                0.03647,                0.00093,                0.00027,                 3.9585,                    inf,                 5.1089,               0.033288,              0.0042884,              0.0042884
                     10,                 3.1528,                 2.3676,                 2.2239,                0.00138,                0.02824,                0.00072,                0.00018,                 4.1684,                    inf,                 5.3515,               0.025381,              0.0043806,              0.0043806
                     11,                 3.0221,                 2.5535,                 2.1681,                0.00621,                0.12706,                0.00374,                 0.0009,                 4.0944,                    inf,                  4.915,               0.017394,              0.0043935,              0.0043935
                     12,                 3.0131,                  2.505,                 2.1896,                0.00328,                0.06706,                0.00187,                0.00048,                 4.0379,                    inf,                 4.8356,              0.0093273,              0.0043273,              0.0043273
                     13,                 3.0139,                 2.4508,                 2.1635,                0.00565,                0.08118,                0.00307,                0.00057,                 3.6299,                    inf,                 4.2435,                0.00406,                0.00406,                0.00406
                     14,                 2.9551,                 2.4257,                 2.1316,                0.00494,                0.10118,                0.00274,                0.00065,                 4.0622,                 17.777,                 6.4395,               0.003565,               0.003565,               0.003565
                     15,                 2.9556,                   2.42,                 2.1985,                0.00265,                0.05412,                0.00145,                0.00039,                 3.7677,                  6.032,                 4.1897,                0.00307,                0.00307,                0.00307
                     16,                 2.8805,                 2.3378,                 2.1668,                0.03476,                0.11176,                0.01991,                0.00519,                 3.1648,                 3.6985,                 3.4634,               0.002575,               0.002575,               0.002575
                     17,                 2.8487,                  2.322,                 2.1975,                0.11133,                0.22888,                0.07343,                0.01966,                 3.0111,                 2.9753,                 2.8176,                0.00208,                0.00208,                0.00208
                     18,                 2.8258,                 2.3077,                 2.1487,                0.08361,                0.18824,                0.05285,                0.01558,                 3.0177,                 3.1329,                 2.4339,               0.001585,               0.001585,               0.001585
                     19,                 2.7983,                 2.3252,                 2.1072,                0.16903,                0.22706,                0.11711,                0.03314,                 2.9432,                 2.5354,                 2.3851,                0.00109,                0.00109,                0.00109
                     20,                  2.774,                 2.2115,                 2.1422,                0.18223,                0.26471,                0.13286,                0.03808,                  2.814,                 2.2652,                 2.2839,               0.000595,               0.000595,               0.000595
