                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3841,                 3.4761,                 1.9852,                0.03902,                0.79882,                0.13352,                0.05933,                  1.569,                 3.1013,                 1.2428,                0.00014,                0.00014,                0.00014
                      2,                 1.8433,                 2.4941,                 1.4178,                 0.7466,                0.40556,                 0.5121,                0.23535,                 1.6309,                   2.54,                 1.2339,             0.00028515,             0.00028515,             0.00028515
                      3,                  1.714,                 1.5315,                 1.2913,                0.72231,                   0.48,                 0.5394,                0.27396,                 1.7003,                 2.1163,                 1.3902,             0.00041446,             0.00041446,             0.00041446
                      4,                 1.5797,                 1.3702,                 1.2475,                 0.6202,                0.57529,                0.59528,                0.29409,                 1.6748,                 1.7017,                 1.3441,             0.00052793,             0.00052793,             0.00052793
                      5,                   1.53,                 1.2681,                 1.2213,                0.77366,                0.56706,                0.63307,                 0.3233,                 1.4982,                 1.9398,                 1.3307,             0.00062556,             0.00062556,             0.00062556
                      6,                 1.4542,                 1.2271,                 1.2174,                0.78675,                0.63059,                0.73232,                0.41759,                 1.3898,                  1.701,                 1.2251,             0.00070735,             0.00070735,             0.00070735
                      7,                 1.4535,                 1.1899,                 1.2089,                0.80586,                   0.64,                0.73917,                 0.4305,                 1.3666,                 1.6617,                 1.2087,              0.0007733,              0.0007733,              0.0007733
                      8,                 1.4597,                 1.1599,                 1.1986,                 0.7638,                0.62118,                0.70647,                0.40014,                 1.4034,                 1.6215,                 1.2316,             0.00082341,             0.00082341,             0.00082341
                      9,                 1.4401,                 1.1291,                 1.2055,                0.78433,                0.60755,                0.67901,                0.39474,                 1.4122,                 1.7077,                 1.2356,             0.00085768,             0.00085768,             0.00085768
                     10,                   1.37,                 1.0897,                 1.1788,                0.77976,                0.59564,                0.68198,                0.39196,                  1.374,                 1.7259,                 1.2125,             0.00087611,             0.00087611,             0.00087611
                     11,                 1.3367,                 1.2699,                 1.1688,                0.74639,                0.56437,                0.65762,                0.39952,                 1.3353,                  1.726,                 1.2035,              0.0008787,              0.0008787,              0.0008787
                     12,                 1.3023,                 1.1706,                 1.1718,                0.79234,                0.61497,                0.71879,                0.42879,                 1.3267,                 1.5748,                 1.2229,             0.00086545,             0.00086545,             0.00086545
                     13,                  1.331,                 1.1349,                 1.1654,                0.80055,                0.64692,                0.77147,                0.45979,                 1.3131,                 1.4231,                  1.185,               0.000812,               0.000812,               0.000812
                     14,                 1.3114,                 1.1036,                 1.1425,                0.80318,                0.64353,                0.76828,                0.46243,                 1.3402,                  1.437,                 1.1849,               0.000713,               0.000713,               0.000713
                     15,                 1.2792,                 1.0641,                 1.1316,                0.81385,                0.65838,                0.76132,                0.46428,                 1.2812,                 1.3683,                 1.1692,               0.000614,               0.000614,               0.000614
                     16,                 1.2699,                 1.0221,                 1.1258,                 0.7832,                0.72588,                0.81025,                0.49452,                 1.2722,                 1.1535,                 1.1463,               0.000515,               0.000515,               0.000515
                     17,                 1.2446,                 1.0102,                 1.1091,                0.80285,                   0.68,                0.79339,                0.48931,                 1.2662,                 1.1541,                 1.1579,               0.000416,               0.000416,               0.000416
                     18,                 1.2197,                0.97664,                  1.103,                0.80151,                0.73765,                0.82767,                0.51299,                 1.2349,                 1.0986,                 1.1399,               0.000317,               0.000317,               0.000317
                     19,                 1.2066,                0.97218,                 1.1159,                0.81041,                   0.76,                0.84621,                0.52664,                 1.2368,                 1.0419,                 1.1342,               0.000218,               0.000218,               0.000218
                     20,                 1.2043,                0.93965,                 1.0928,                0.82319,                0.74494,                0.84468,                0.52994,                 1.2262,                 1.0147,                 1.1313,               0.000119,               0.000119,               0.000119
