                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2885,                 3.1724,                 1.8622,                0.60529,                0.13647,                0.26554,                0.09436,                 1.9706,                 2.5582,                 1.5746,                 0.0937,                 0.0007,                 0.0007
                      2,                 1.7578,                 1.6942,                 1.3886,                0.09166,                0.10588,                0.03147,                0.00817,                 3.0322,                 4.6992,                 4.3737,               0.086426,              0.0014257,              0.0014257
                      3,                 1.6834,                 1.4771,                 1.3857,                0.00758,                0.07294,                0.00348,                 0.0009,                 4.3453,                    inf,                 10.146,               0.079072,              0.0020723,              0.0020723
                      4,                 1.6601,                 1.3663,                 1.3532,                0.03039,                0.23882,                0.01717,                0.00586,                 2.8954,                 14.049,                 3.6448,                0.07164,              0.0026396,              0.0026396
                      5,                 1.6013,                  1.264,                 1.3004,                0.05666,                0.28118,                0.04369,                0.01818,                 2.2331,                 10.284,                 2.5518,               0.064128,              0.0031278,              0.0031278
                      6,                 1.5927,                 1.2576,                 1.3328,                 0.0015,                0.03059,                0.00083,                0.00017,                 3.7752,                    inf,                 12.204,               0.056537,              0.0035367,              0.0035367
                      7,                 1.5933,                 1.2112,                 1.3236,                0.09776,                0.11882,                 0.0364,                0.00849,                 3.3074,                 13.988,                 6.2625,               0.048867,              0.0038665,              0.0038665
                      8,                 1.5727,                 1.1617,                 1.2807,                0.34844,                0.27059,                0.22498,                0.08909,                  2.246,                 2.2919,                 2.2817,               0.041117,              0.0041171,              0.0041171
                      9,                 1.5665,                 1.1353,                 1.3035,                0.49111,                0.42941,                0.41649,                0.20403,                 1.7529,                 2.0013,                 1.6984,               0.033288,              0.0042884,              0.0042884
                     10,                 1.4811,                 1.1204,                 1.2714,                0.57778,                0.33647,                0.37146,                0.17129,                 1.8077,                 2.0205,                 1.6996,               0.025381,              0.0043806,              0.0043806
                     11,                 1.4289,                 1.2829,                 1.2607,                0.57234,                0.41252,                0.45493,                0.22821,                 1.6538,                 1.7904,                 1.6028,               0.017394,              0.0043935,              0.0043935
                     12,                 1.4168,                 1.1749,                  1.289,                0.65711,                0.58706,                0.61532,                0.32613,                 1.5679,                 1.6924,                 1.4996,              0.0093273,              0.0043273,              0.0043273
                     13,                 1.4724,                 1.1425,                 1.2886,                0.71286,                0.62471,                0.67827,                0.35984,                 1.5624,                 1.3578,                 1.4499,                0.00406,                0.00406,                0.00406
                     14,                  1.432,                  1.114,                 1.2651,                0.70755,                0.62051,                0.69265,                0.35924,                 1.5913,                  1.382,                 1.4915,               0.003565,               0.003565,               0.003565
                     15,                 1.4026,                  1.085,                 1.2361,                0.76091,                0.65899,                0.74921,                 0.4142,                 1.4542,                 1.1948,                 1.3536,                0.00307,                0.00307,                0.00307
                     16,                 1.3738,                 1.0411,                 1.2368,                0.71883,                0.70983,                0.74299,                0.40867,                 1.4623,                 1.1175,                 1.3877,               0.002575,               0.002575,               0.002575
                     17,                 1.3407,                 1.0291,                 1.2109,                0.76228,                0.69415,                 0.7878,                0.46027,                 1.3456,                 1.0738,                 1.2537,                0.00208,                0.00208,                0.00208
                     18,                 1.3261,                  1.008,                 1.2066,                0.77945,                0.73177,                 0.8017,                0.48427,                 1.3164,                 1.0148,                 1.2547,               0.001585,               0.001585,               0.001585
                     19,                 1.2941,                0.96851,                 1.2163,                0.80384,                0.74118,                0.82652,                0.49181,                 1.3042,                0.97576,                   1.23,                0.00109,                0.00109,                0.00109
                     20,                 1.2902,                0.94262,                 1.1855,                0.79948,                0.74235,                0.83221,                0.50748,                 1.2773,                0.94321,                 1.2046,               0.000595,               0.000595,               0.000595
