                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1256,                 3.2952,                 1.7894,                0.03954,                0.80941,                0.47944,                0.17723,                 1.9347,                 2.6989,                 1.5394,                 0.0937,                 0.0007,                 0.0007
                      2,                 1.7113,                 1.7017,                 1.4315,                0.34303,                    0.2,                0.18141,                 0.0586,                 2.6097,                  2.602,                 2.0979,               0.086351,              0.0013515,              0.0013515
                      3,                 1.6359,                 1.4626,                  1.406,                 0.0215,                0.10118,                0.01255,                0.00376,                 3.3028,                 16.015,                 7.2498,               0.078845,              0.0018446,              0.0018446
                      4,                 1.5911,                 1.3325,                 1.3487,                0.00167,                0.03412,                 0.0009,                0.00022,                 3.1923,                    inf,                 7.3042,               0.071179,              0.0021793,              0.0021793
                      5,                 1.5471,                  1.281,                 1.3461,                 0.0069,                0.14118,                0.00395,                0.00106,                 3.1517,                    inf,                 5.9548,               0.063356,              0.0023556,              0.0023556
                      6,                 1.5613,                 1.2718,                 1.3444,                0.03741,                0.09647,                0.01694,                0.00548,                 2.9402,                    inf,                 4.2239,               0.055374,              0.0023735,              0.0023735
                      7,                 1.5133,                  1.221,                 1.3196,                0.13254,                0.31412,                0.08665,                0.03483,                 2.2662,                 5.4198,                 2.1572,               0.047233,               0.002233,               0.002233
                      8,                 1.4786,                 1.1781,                 1.2934,                0.40536,                0.40706,                0.33737,                0.17476,                 1.7429,                 2.0829,                 1.5146,               0.038934,              0.0019341,              0.0019341
                      9,                  1.418,                 1.1361,                 1.2783,                0.65653,                0.60588,                 0.6302,                0.34451,                 1.5289,                 1.5416,                 1.3329,               0.030477,              0.0014768,              0.0014768
                     10,                 1.3979,                 1.0932,                 1.2597,                0.69185,                0.67356,                 0.7188,                0.39822,                  1.484,                 1.3052,                 1.2819,               0.021861,              0.0008611,              0.0008611
