                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9914,                 2.0938,                 1.5613,                0.37395,                   0.46,                0.33684,                0.12823,                 2.1294,                 2.6557,                 2.3155,                  0.073,                  0.003,                  0.003
                      2,                 1.9063,                 1.6212,                 1.5043,                0.00293,                   0.06,                0.00158,                0.00044,                  4.395,                    inf,                 16.828,               0.044798,               0.005798,               0.005798
                      3,                 1.8362,                 1.5115,                 1.4748,                0.00931,                0.19059,                0.00601,                0.00168,                 3.6706,                    inf,                 8.7249,               0.016289,              0.0082892,              0.0082892
                      4,                  1.794,                 1.4543,                 1.4363,                0.24529,                 0.3816,                0.19059,                0.06057,                 2.4953,                 2.8676,                 1.9815,               0.008515,               0.008515,               0.008515
                      5,                 1.7392,                 1.3893,                 1.3962,                0.47185,                0.53765,                0.47321,                0.22721,                 1.7447,                 1.6129,                 1.5125,                0.00802,                0.00802,                0.00802
                      6,                 1.7022,                 1.3646,                 1.4041,                0.56022,                0.55647,                0.56253,                0.28747,                 1.6504,                 1.5318,                 1.4329,               0.007525,               0.007525,               0.007525
                      7,                 1.6758,                 1.3424,                 1.3936,                0.65497,                0.64096,                 0.6849,                0.34903,                 1.5951,                 1.5283,                 1.4141,                0.00703,                0.00703,                0.00703
                      8,                 1.6645,                  1.315,                  1.366,                0.64316,                   0.62,                0.65787,                0.33918,                 1.5996,                 1.5719,                 1.3967,               0.006535,               0.006535,               0.006535
                      9,                 1.6022,                 1.2309,                 1.3274,                0.74834,                0.67519,                0.75489,                0.41646,                 1.4627,                 1.2851,                 1.3317,                0.00604,                0.00604,                0.00604
                     10,                 1.5853,                 1.2345,                 1.3267,                0.74843,                0.67765,                0.75343,                 0.4145,                 1.4524,                 1.2459,                 1.3253,               0.005545,               0.005545,               0.005545
                     11,                  1.488,                 1.3201,                 1.3137,                0.70391,                0.58118,                0.67012,                0.36327,                 1.5104,                 1.3683,                 1.3365,                0.00505,                0.00505,                0.00505
                     12,                 1.4899,                 1.2508,                 1.3451,                0.75886,                0.68941,                0.77427,                0.43334,                 1.4302,                 1.2738,                 1.3293,               0.004555,               0.004555,               0.004555
                     13,                 1.4989,                 1.2118,                 1.3002,                0.75079,                0.70534,                0.77773,                0.43497,                 1.3881,                 1.4522,                  1.295,                0.00406,                0.00406,                0.00406
                     14,                 1.4533,                 1.1932,                 1.2677,                0.75386,                0.70984,                0.78071,                0.45298,                 1.3671,                  1.199,                 1.2804,               0.003565,               0.003565,               0.003565
                     15,                 1.4606,                 1.1518,                 1.2985,                0.80572,                0.69281,                0.79326,                0.45765,                 1.4031,                 1.1167,                 1.2897,                0.00307,                0.00307,                0.00307
                     16,                 1.4047,                 1.1396,                 1.2657,                0.80941,                0.67647,                0.79212,                0.46447,                 1.3655,                 1.0871,                  1.279,               0.002575,               0.002575,               0.002575
                     17,                 1.4145,                 1.1018,                 1.2589,                0.80613,                0.71294,                0.79477,                0.45072,                 1.3858,                 1.1094,                 1.2848,                0.00208,                0.00208,                0.00208
                     18,                  1.382,                 1.0899,                 1.2504,                 0.8084,                0.71973,                0.81064,                0.48013,                 1.3269,                 1.0307,                 1.2532,               0.001585,               0.001585,               0.001585
                     19,                 1.3845,                 1.0806,                 1.2651,                0.80069,                0.72824,                0.82177,                0.48973,                 1.3258,                 1.0192,                 1.2483,                0.00109,                0.00109,                0.00109
                     20,                 1.3648,                  1.083,                 1.2511,                0.80214,                0.71882,                0.82653,                0.50048,                 1.3071,                 1.0103,                 1.2385,               0.000595,               0.000595,               0.000595
