                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4129,                 3.3679,                 3.0784,                0.00092,                0.01882,                0.00047,                  9e-05,                 5.6162,                    inf,                 4092.9,                  0.073,                  0.003,                  0.003
                      2,                 3.4918,                 3.0526,                  2.524,                0.00092,                0.01882,                0.00047,                  9e-05,                 4.2113,                    inf,                 39.164,               0.044798,               0.005798,               0.005798
                      3,                 3.4257,                 2.9183,                  2.331,                0.00115,                0.02353,                 0.0006,                0.00012,                 4.9778,                    inf,                 12.886,               0.016289,              0.0082892,              0.0082892
                      4,                 3.4522,                 2.8212,                 2.4053,                0.00358,                0.05765,                0.00161,                0.00031,                  3.898,                 74.003,                 21.408,               0.008515,               0.008515,               0.008515
                      5,                 3.4152,                 2.7661,                  2.306,                0.01879,                   0.32,                0.01756,                0.00345,                 3.7382,                    inf,                 9.2462,                0.00802,                0.00802,                0.00802
                      6,                 3.4484,                  2.722,                 2.2999,                0.01241,                0.25412,                0.00814,                0.00221,                 3.5178,                    inf,                 5.2506,               0.007525,               0.007525,               0.007525
                      7,                 3.3679,                 2.6871,                    2.3,                0.04654,                0.06824,                0.02764,                0.00654,                 3.8832,                 2.6839,                 5.3344,                0.00703,                0.00703,                0.00703
                      8,                 3.3371,                 2.7492,                  2.384,                 0.0213,                   0.42,                0.01538,                0.00442,                 3.3431,                 40.849,                 2.8807,               0.006535,               0.006535,               0.006535
                      9,                 3.2621,                 2.4922,                 2.3921,                0.15411,                0.05294,                0.03534,                0.00837,                 3.2258,                 54.412,                 2.5849,                0.00604,                0.00604,                0.00604
                     10,                 3.2324,                 2.5587,                  2.341,                0.00979,                0.18235,                0.00581,                0.00169,                 3.2663,                    inf,                 2.9573,               0.005545,               0.005545,               0.005545
                     11,                 3.0368,                 2.6152,                 2.2982,                 0.0447,                0.16706,                0.02766,                0.00661,                 3.1199,                 12.859,                 2.3033,                0.00505,                0.00505,                0.00505
                     12,                 3.0391,                 2.5381,                 2.3239,                0.05664,                0.15638,                0.03475,                0.00939,                 3.0864,                 4.5638,                 2.9589,               0.004555,               0.004555,               0.004555
                     13,                  3.004,                 2.4689,                  2.362,                0.03044,                0.05294,                0.01102,                0.00227,                 3.0819,                 5.5809,                 3.0032,                0.00406,                0.00406,                0.00406
                     14,                 2.9846,                 2.4667,                 2.3217,                0.03086,                0.63176,                0.03651,                0.01039,                 3.1452,                 2.7166,                 2.5911,               0.003565,               0.003565,               0.003565
                     15,                 2.9086,                 2.4084,                 2.2916,                0.25256,                0.11765,                0.10462,                0.02604,                 3.0958,                 2.6071,                   2.77,                0.00307,                0.00307,                0.00307
                     16,                 2.8981,                 2.3641,                 2.2816,                 0.0296,                0.60588,                0.07364,                0.01501,                 3.2796,                 2.7658,                 3.1388,               0.002575,               0.002575,               0.002575
                     17,                 2.8779,                 2.3042,                 2.2411,                0.03282,                0.67176,                0.10588,                0.02411,                 3.0747,                 2.7036,                 3.3888,                0.00208,                0.00208,                0.00208
                     18,                 2.8585,                 2.2792,                 2.2412,                0.13017,                0.38824,                 0.1674,                0.04336,                 2.8782,                 2.8476,                 2.4736,               0.001585,               0.001585,               0.001585
                     19,                 2.8266,                 2.2605,                 2.2301,                0.26952,                0.17529,                0.13841,                0.03984,                 2.7818,                 2.6265,                  2.224,                0.00109,                0.00109,                0.00109
                     20,                 2.8179,                 2.2688,                  2.222,                0.14739,                0.12118,                0.08459,                 0.0261,                 2.7504,                 2.8919,                 2.1451,               0.000595,               0.000595,               0.000595
