                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2912,                 3.1732,                 1.8628,                0.66799,                0.14676,                0.29305,                0.10105,                 1.9457,                 2.5627,                 1.5975,                 0.0937,                 0.0007,                 0.0007
                      2,                 1.7528,                 1.6882,                 1.3844,                0.15173,                0.09176,                0.03929,                0.01038,                 2.7207,                  3.181,                 2.9384,               0.086426,              0.0014257,              0.0014257
                      3,                 1.6723,                 1.4437,                 1.3654,                0.01723,                0.17882,                0.00763,                0.00208,                 3.9964,                    inf,                 14.654,               0.079072,              0.0020723,              0.0020723
                      4,                 1.6419,                 1.3608,                 1.3461,                0.00201,                0.04118,                0.00105,                0.00027,                  4.905,                    inf,                 18.046,                0.07164,              0.0026396,              0.0026396
                      5,                 1.6029,                  1.266,                 1.3075,                 0.1335,                0.06235,                0.01892,                0.00397,                 3.7581,                    inf,                 10.977,               0.064128,              0.0031278,              0.0031278
                      6,                 1.5749,                 1.2558,                 1.3379,                0.07034,                0.09412,                 0.0218,                0.00539,                  3.012,                 7.6463,                  5.742,               0.056537,              0.0035367,              0.0035367
                      7,                 1.5838,                 1.2049,                 1.3227,                0.33165,                0.25882,                0.19748,                0.07719,                 2.8824,                 3.0698,                 4.0486,               0.048867,              0.0038665,              0.0038665
                      8,                 1.5615,                 1.1728,                 1.2831,                0.63143,                0.43647,                0.47493,                 0.2137,                 1.9008,                 2.8373,                 1.8433,               0.041117,              0.0041171,              0.0041171
                      9,                 1.5603,                 1.1368,                 1.3093,                0.28637,                0.30941,                0.19505,                0.09364,                   1.91,                 3.3227,                  2.023,               0.033288,              0.0042884,              0.0042884
                     10,                 1.4955,                 1.1478,                 1.2804,                0.68256,                0.41647,                0.48504,                0.23473,                 1.6931,                  1.979,                 1.6117,               0.025381,              0.0043806,              0.0043806
                     11,                 1.4416,                 1.3398,                 1.2918,                0.21799,                0.19294,                0.12595,                 0.0467,                 2.2805,                 3.1907,                 2.2174,               0.017394,              0.0043935,              0.0043935
                     12,                 1.4391,                 1.2124,                 1.2954,                0.34086,                0.15647,                0.15523,                0.07874,                 2.0378,                 3.1449,                 2.2184,              0.0093273,              0.0043273,              0.0043273
                     13,                 1.4494,                 1.1491,                 1.2933,                0.24012,                0.25765,                0.18546,                0.08795,                 2.2538,                 2.7708,                 1.9638,                0.00406,                0.00406,                0.00406
                     14,                 1.4422,                 1.1227,                 1.2616,                0.58395,                0.43765,                0.48076,                0.23152,                 1.8769,                 1.7155,                 1.6488,               0.003565,               0.003565,               0.003565
                     15,                 1.4015,                 1.0862,                 1.2447,                0.61669,                0.41765,                0.51647,                0.27658,                 1.5598,                 1.5949,                 1.4575,                0.00307,                0.00307,                0.00307
                     16,                 1.3688,                 1.0492,                 1.2375,                0.56325,                0.51176,                0.53761,                0.27074,                 1.5675,                 1.4725,                 1.4441,               0.002575,               0.002575,               0.002575
                     17,                 1.3655,                 1.0133,                 1.2224,                0.73543,                0.69002,                0.76293,                0.43351,                 1.4055,                 1.1146,                 1.3238,                0.00208,                0.00208,                0.00208
                     18,                 1.3279,                 1.0053,                  1.209,                0.77959,                   0.72,                0.80457,                0.46641,                 1.3613,                  1.056,                 1.2903,               0.001585,               0.001585,               0.001585
                     19,                 1.2896,                0.97538,                 1.2199,                 0.7864,                0.73059,                0.81874,                0.49155,                  1.309,                  1.005,                 1.2456,                0.00109,                0.00109,                0.00109
                     20,                 1.2792,                0.95469,                 1.1876,                0.80695,                 0.7524,                0.84679,                0.51756,                 1.2738,                0.94635,                 1.2087,               0.000595,               0.000595,               0.000595
